UNIQUE_SAMPLEID,SAMPLE_ID,FIELD_ID,Grainize,Horizon,Locality,Date_sampled,Latitude,Longitude,Duplicate,Catchment,Ag,Ag,Ag,Al,Al,As,As,As,Au,Au,Au,B,Ba,Ba,Ba,Be,Be,Bi,Bi,Bi,Ca,Ca,Cd,Cd,Cd,Ce,Ce,Ce,Cl,Co,Co,Co,Cr,Cr,Cr,Cs,Cs,Cs,Cu,Cu,Cu,Dy,Dy,Dy,Er,Er,Er,Eu,Eu,Eu,F,F_Rpt,Fe,Fe,Ga,Ga,Ga,Gd,Gd,Gd,Ge,Ge,Hf,Hf,Hg,Hg,Hg,Ho,Ho,In,In,K,K,La,La,La,Li,Li,Lu,Lu,Mg,Mg,Mn,Mn,Mn,Mo,Mo,Mo,Na,Nb,Nb,Nb,Nd,Nd,Nd,Ni,Ni,Ni,P,P,Pb,Pb,Pb206,Pb207,Pb208,Pb,Pd,Pd,Pr,Pr,Pr,Pt,Pt,Rb,Rb,Rb,Re,S,S,Sb,Sb,Sb,Sc,Sc,Sc,Se,Se_Rpt,Se,Se,Se,Si,Sm,Sm,Sm,Sn,Sn,Sn,Sr,Sr,Sr,Ta,Ta,Ta,Tb,Tb,Tb,Te,Te,Th,Th,Th,Ti,Ti,Tl,Tl,Tl,Tm,Tm,U ,U,U,V ,V,V,W ,W,W,Y ,Y,Y,Yb,Yb,Yb,Zn,Zn,Zn,Zr,Zr,Zr
TS0909_05BC,Batch_2,TS0909_05 ,<2 mm,BOS,Roseglen,41765,-18.33246,143.53739,,Delaney River,0.03,0.00007,,0,,3,3.91,,0.9,0.002,,5,85.8,742.1,,1.4,3.01,0.13,0.23,,0,,0.03,0.06,,88.5,111.6,,,7.3,8.15,,53,76.57,,3.31,4.71,,15.1,19.15,,2.7,5.05,,1,2.63,,0.6,1.11,,740,,0,,9.55,19.97,,4.6,6.91,,0.2,2.8,0.1,7.47,20,17,,0.4,0.94,0.02,,0,,42.2,55.5,,15.1,,< 0.1,0.37,0,,269,0,,0.51,1.03,,0,0.3,14.36,,36.7,46.61,,15.8,19.32,,0,,12.7,77.2,25.16,25.95,26.09,,<0.001,,10.1,13.01,,<0.0005,,77.5,170.18,,< 0.001,,,0.09,11.1,,5.3,12.69,,0.03,,1.6,8.02,,0,6.3,8.55,,0.98,2.38,,16.7,117.14,,< 0.05,2.31,,0.6,0.89,,0.03,,16.8,27.07,,0,,0.56,1.12,,0.1,0.37,2.3,4.71,,42,63.97,,< 0.1,1.28,,10.6,24.68,,0.7,2.44,,40,62.62,,5.2,261.36,
TS0909_05BF,Batch_2,TS0909_05 ,<75 µm,BOS,Roseglen,41765,-18.33246,143.53739,,Delaney River,0.029,0.00015,,88630.07652,,4.3,7.45,,1.5,0.006,,8,118,695.84,,2.2,4.13,0.24,0.37,,9219.543509,,0.04,0.1,,177,309.21,,,11.9,14.14,,56,87.98,,4.96,7.41,,25,34.69,,5.2,13.29,,1.9,6.77,,1.1,2.21,,1140,,45323.48153,,15.1,35.38,,9.3,18.8,,0.6,7.47,0.1,23.28,< 10,12.48,,0.8,2.44,0.04,,32956.3275,,85.4,159.65,,23.8,,0.2,0.95,11279.36508,,437,619.5403919,,0.43,0.75,,8383.588734,0.6,25.88,,71.7,129.23,,24.1,30.38,,785.6297549,,21.3,94.95,33.05,29.16,32.74,,0.001,,19.5,35.96,,0.0008,,117,211.36,,0.005,,,0.14,12.06,,7.3,24.14,,0.06,,3.8,21.6,,283636.7965,12.6,23.29,,1.29,3.79,,26.9,117.7,,< 0.05,3.98,,1.1,2.42,,0.11,,35.2,70.65,,6594.493116,,0.92,1.5,,0.2,0.95,4.7,11.81,,63,104.55,,< 0.1,1.78,,20.3,63.83,,1.4,6.27,,61.9,94.28,,5.8,814.88,
TS0909_05TC,Batch_2,TS0909_05 ,<2 mm,TOS,Roseglen,41765,-18.33246,143.53739,,Delaney River,0.028,0.00007,0.012,60533.01942,32,1.7,3.35,<0.01,0.8,0.002,0.0012,7,81.2,768.06,0.76,1.2,2.26,0.14,0.17,<0.001,6289.300999,405,0.04,0.06,0.009,126,153.25,0.208,,6.6,6.96,0.363,55,83.72,0.022,2.88,3.87,<0.0005,12.1,19.76,1.14,3.5,6.8,0.017,1.2,3.67,0.0096,0.7,1.12,0.0052,560,,20633.37508,15,10.4,19.7,0.003,6.7,9.31,0.027,0.4,3.88,< 0.1,8.74,10,20.85,<0.001,0.5,1.27,< 0.02,,28971.68337,167,61,76.82,0.042,12.6,0.006,0.1,0.5,4946.031746,114,247,309.770196,6.96,0.69,1.16,0.009,7270.722973,2.6,14.38,<0.0005,50.4,64.46,0.087,13.8,39.4,0.424,698.3375599,4.1,12.9,80.32,26.11,26.76,27.45,0.06,<0.001,<0.001,14.1,18,0.017,<0.0005,<0.001,76.2,164.99,0.248,< 0.001,,,0.08,9.07,<0.001,3.6,10.49,0.011,0.05,,2.7,10.54,0.004,346148.0852,8.5,11.63,0.023,0.93,2.12,<0.001,18.6,116.48,2.25,< 0.05,2.32,<0.001,0.8,1.21,0.003,< 0.02,<0.01,23.1,38.43,0.0463,3357.196496,0.018,0.52,1.08,0.0006,0.1,0.52,3.5,5.93,0.139,30,45.1,0.013,< 0.1,1.3,<0.001,13.2,34.08,0.1,0.8,3.44,0.007,31.6,51.43,0.18,3.2,312.17,0.05
TS0909_05TF,Batch_2,TS0909_05 ,<75 µm,TOS,Roseglen,41765,-18.33246,143.53739,,Delaney River,0.035,0.00016,,88048.02825,,2.9,7.56,,5.1,0.005,,6,143,711.68,,2.1,3.87,0.25,0.35,,9076.60485,,0.07,0.15,,215,417.34,,,14,14.45,,56,83.53,,6.36,7.66,,24.2,23.97,,6.5,17.42,,2.3,8.84,,1.3,2.56,,1200,,43015.34126,,17.3,40.62,,11.8,24.95,,0.4,10.04,< 0.1,29.38,20,19.51,,1,3.16,0.03,,36027.82402,,104,215.99,,23.2,,0.2,1.22,10917.46032,,519,696.9829409,,0.51,0.72,,8309.397684,2.9,25.9,,90.1,174.82,,26.5,28.06,,1003.860242,,26.7,100,35.37,29.57,35.06,,<0.001,,24.3,48.6,,<0.0005,,161,242.1,,0.002,,,0.11,6.94,,7.2,26.05,,0.1,,4.2,27.53,,278684.4822,15.6,31.34,,1.71,4.16,,34.1,120.51,,< 0.05,1.98,,1.4,3.18,,0.06,,42.5,106.16,,7313.892365,,1.2,1.63,,0.3,1.25,7,15.79,,57,90.67,,< 0.1,1.8,,23.4,84,,1.5,8.26,,75.8,77.74,,2.8,1046.04,
TS0909_05TF_Repeat,Batch_2,TS0909_05 ,<75 µm,TOS,Roseglen,41765,-18.33246,143.53739,Repeat,Delaney River,,,,90640.7887,,,,,,,,,,,,,,,,,9433.951498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44903.81966,,,,,,,,,,,,,,,,,,,35197.68983,,,,,,,,,10193.65079,,,696.9829409,,,,,5044.991451,,,,,,,,,,1134.798535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275087.0463,,,,,,,,,,,,,,,,,,,,,7493.742178,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS0909_06BC,Batch_2,TS0909_06 ,<2 mm,BOS,Huonvale,41763,-18.12067,143.29216,,Etheridge River,0.023,0.00013,,48151.26545,,1.6,3.38,,< 0.5,<0.001,,4,54.4,648.49,,0.8,1.54,0.13,0.25,,1715.263909,,0.01,0.03,,56,77.41,,,4.7,5.39,,27,45.01,,1.34,3.25,,7.86,17.46,,1.5,3.72,,0.6,2.25,,0.4,0.75,,260,,14268.50344,,4.66,13.41,,3,4.81,,0.2,2.06,< 0.1,5.98,10,19.17,,0.2,0.73,< 0.02,,26066.21369,,26.5,37.8,,4.7,,< 0.1,0.32,1869.84127,,164,232.327647,,0.41,0.84,,7864.251379,0.2,10.4,,23.4,32.75,,6,14.41,,218.2304875,,11.2,80.22,25.45,27.71,27.07,,<0.001,,6.4,9.06,,<0.0005,,23.4,134.76,,0.001,,,0.1,5.96,,2.2,7.2,,0.08,,0.7,5.18,,377730.7692,4,5.96,,0.49,1.89,,7.2,77.44,,< 0.05,1.47,,0.3,0.65,,0.02,,10.1,17.88,,3477.09637,,0.19,0.93,,< 0.1,0.32,2.1,4.14,,24,36.01,,< 0.1,1.37,,6.08,19.56,,0.4,2.2,,15.1,30.45,,2.8,199.24,
TS0909_06BF,Batch_2,TS0909_06 ,<75 µm,BOS,Huonvale,41763,-18.12067,143.29216,,Etheridge River,0.02,0.00018,,67729.2525,,2.7,5.66,,4.1,0.004,,3,89.3,695.48,,1.3,2.52,0.24,0.42,,2501.426534,,0.02,0.07,,131,165.84,,,9.1,9.68,,18,48.9,,2.3,4.72,,14.6,21.21,,3.6,7.62,,1.3,4.08,,0.9,1.4,,440,,22941.51534,,7.89,21.83,,6.9,10.33,,0.4,4.34,< 0.1,12.85,20,15.06,,0.6,1.42,< 0.02,,27145.38814,,62.6,84.05,,8.4,,0.1,0.61,2834.920635,,303,387.212745,,0.45,0.91,,5341.755654,0.4,16.32,,56,71.2,,10.2,31.52,,174.58439,,20.7,93.76,30.59,31.17,32,,<0.001,,14.9,19.72,,<0.0005,,41.1,153.99,,< 0.001,,,0.11,20.77,,3.8,14.03,,0.1,,2.1,11.88,,346007.9254,9.6,13.01,,0.87,3.03,,13.6,89.77,,< 0.05,0.79,,0.8,1.34,,0.04,,23.9,39.24,,6174.843554,,0.34,1.11,,0.2,0.6,4.6,8.53,,37,58.14,,< 0.1,1.94,,13.8,37.47,,0.9,4.06,,23.4,38.59,,3.6,431.17,
TS0909_06TC,Batch_2,TS0909_06 ,<2 mm,TOS,Huonvale,41763,-18.12067,143.29216,,Etheridge River,0.09,0.00018,0.031,60638.84638,38,3.5,5.77,0.01,285,<0.001,0.0033,3,111,684.34,2.59,1.4,2.29,0.3,0.47,<0.001,3859.343795,355,0.14,0.2,0.091,97.6,105.9,3.06,,8.1,8.82,0.556,40,70.13,0.072,2.73,4.69,0.0005,20.8,25.24,1.87,2.9,5.46,0.205,1.1,3.14,0.106,0.8,1.09,0.0649,520,,22801.62805,42,8.62,18.36,0.027,5.2,6.96,0.333,0.2,2.8,< 0.1,8.11,70,23.98,<0.001,0.5,1.05,0.03,,29386.75047,65.3,45.5,51.43,0.941,9.9,0.013,0.1,0.46,4041.269841,164,329,387.212745,21.6,0.64,1.08,0.007,6899.767719,1.4,14.57,<0.0005,40.7,45.33,1.7,12.7,29.65,0.85,261.876585,1.6,48.6,162.01,50.5,56.77,54.74,2.35,<0.001,<0.001,11.3,12.47,0.378,<0.0005,<0.001,57.1,159.64,0.25,< 0.001,,,0.12,7.08,<0.001,3.8,12,0.098,0.04,,1.9,7.9,0.012,343017.8488,7.1,8.24,0.36,0.97,2.59,<0.001,15.5,93.79,1.85,< 0.05,2.81,<0.001,0.7,0.93,0.042,0.03,<0.01,14.8,23.28,0.182,4136.545682,0.011,0.41,1.1,0.0005,0.1,0.46,3.2,5.3,0.383,38,57.78,0.01,< 0.1,1.97,0.001,12.1,28.22,1.14,0.9,3.04,0.079,50.3,55.82,1.63,2.6,271.16,0.115
TS0909_06TF,Batch_2,TS0909_06 ,<75 µm,TOS,Huonvale,41763,-18.12067,143.29216,,Etheridge River,0.106,0.0002,,72279.81165,,4.2,7.48,,249,0.047,,3,114,702.75,,1.4,2.94,0.37,0.53,,5503.138374,,0.17,0.28,,129,168.61,,,9.9,10.98,,28,50.82,,2.86,5.6,,25.6,31.31,,4,8.28,,1.5,4.69,,1,1.5,,660,,28816.78147,,10.4,24.32,,7.1,10.68,,0.4,4.41,< 0.1,15.69,100,22.38,,0.6,1.59,0.03,,28307.57601,,60.6,81.45,,10.9,,0.1,0.69,5488.888889,,394,464.655294,,0.51,0.76,,8680.352937,1.2,19.25,,55.4,72.08,,14.9,19.87,,218.2304875,,62.3,196.9,61.69,68.51,66.7,,<0.001,,15.2,19.88,,<0.0005,,60.6,171.5,,< 0.001,,,0.15,30.67,,4.9,17.29,,0.1,,2.9,12.81,,321853.713,9.3,13.26,,0.83,3.29,,17.7,101.86,,< 0.05,2.34,,0.9,1.43,,0.08,,20,38.19,,5455.444305,,0.41,1.22,,0.2,0.68,4.3,8.14,,43,73.73,,< 0.1,2.24,,15.8,42.73,,1,4.54,,59.1,73.52,,2,546.29,
TS0909_08BC,Batch_2,TS0909_08 ,<2 mm,BOS,Mistletoe,41765,-18.22607,143.53423,Missing,Quartz Blow Creek,0.139,,,55347.49853,,1.6,,,2.1,<0.001,,6,64.9,,,0.6,,0.04,,,3644.935806,,0.02,,,60,,,,3.3,,,77,,,0.68,,,5.92,,,1.7,,,0.5,,,0.4,,,200,,13079.46149,,4.46,,,3.1,,,< 0.1,,< 0.1,,< 10,,,0.3,,< 0.02,,27726.48208,,29,,,3.1,,< 0.1,,1930.15873,,123,154.885098,,1.04,,,9422.263445,0.5,,,24.7,,,7.5,,,130.9382925,,8.33,0,,,,,<0.001,,7,,,<0.0005,,23.6,,,< 0.001,,,0.07,,,2,,,0.03,,1,,,372965.3347,4.3,,,0.54,,,14.2,,,< 0.05,,,0.4,,,< 0.02,,11.7,,,2457.947434,,0.16,,,< 0.1,,1.6,,,21,,,< 0.1,,,5.87,,,0.4,,,10.9,,,2.4,,
TS0909_08BF,Batch_2,TS0909_08 ,<75 µm,BOS,Mistletoe,41765,-18.22607,143.53423,Missing,Quartz Blow Creek,0.026,,,96620.01177,,2.1,,,3,0.002,,3,111,,,1.2,,0.07,,,6861.055635,,< 0.01,,,160,,,,9.2,,,30,,,1.87,,,13,,,4.4,,,1.5,,,1.1,,,560,,30565.37257,,11,,,8.1,,,0.5,,< 0.1,,< 10,,,0.7,,0.02,,31628.11279,,78,,,8,,0.1,,5549.206349,,288,387.212745,,0.14,,,14838.21015,0.8,,,66.4,,,16.3,,,349.1687799,,17.4,0,,,,,<0.001,,17.4,,,<0.0005,,67.1,,,0.003,,,0.05,,,5.4,,,0.07,,2,,,294008.6247,11.4,,,0.88,,,26.6,,,< 0.05,,,1,,,0.03,,27.3,,,6114.893617,,0.43,,,0.2,,3.9,,,42,,,< 0.1,,,16.3,,,1,,,34.6,,,1.8,,
TS0909_08TC,Batch_2,TS0909_08 ,<2 mm,TOS,Mistletoe,41765,-18.22607,143.53423,,Quartz Blow Creek,0.025,0.0001,0.003,51749.38199,57,1.4,2.41,<0.01,< 0.5,<0.001,<0.0001,5,78.3,967.59,0.56,0.5,1.1,0.05,0.06,<0.001,5074.322397,275,0.03,0.13,0.007,65.8,70.92,0.67,,3.6,4.22,0.098,108,133.79,0.02,0.66,1.31,<0.0005,7.24,30.96,0.29,1.7,2.98,0.06,0.6,1.61,0.0319,0.4,0.7,0.0215,220,,14198.5598,24,4.35,13.73,0.011,3.5,4.31,0.09,0.3,2.14,< 0.1,3.53,< 10,2.56,<0.001,0.3,0.54,< 0.02,,27062.37472,62.7,32.6,34.99,0.21,3.6,0.005,< 0.1,0.2,2473.015873,53,224,232.327647,11.9,1.53,0.61,<0.005,8680.352937,0.9,0.5,<0.0005,26.5,30.98,0.41,9.5,14.14,0.261,87.29219498,2.7,8.13,74.8,24.74,24.8,25.26,0.28,<0.001,<0.001,7.4,8.24,0.089,<0.0005,<0.001,26.8,105.36,0.182,< 0.001,,,0.07,0.45,<0.001,1.7,6.41,0.033,0.01,,1.2,5.26,<0.002,363481.1855,4.4,5.51,0.093,1.04,0.93,<0.001,30.2,222.17,1.79,< 0.05,0.04,<0.001,0.4,0.54,0.012,< 0.02,<0.01,9.2,16.5,0.041,2577.847309,0.066,0.09,0.6,<0.0005,< 0.1,0.21,1.6,2.56,0.033,20,32.6,0.009,< 0.1,0.07,<0.001,6.43,15.6,0.307,0.4,1.41,0.024,33.8,55.79,0.94,0.8,113.79,0.061
TS0909_08TF,Batch_2,TS0909_08 ,<75 µm,TOS,Mistletoe,41765,-18.22607,143.53423,,Quartz Blow Creek,0.018,0.00029,,82545.02649,,2.7,5.76,,0.7,0.002,,4,161,911.44,,1.1,2.26,0.08,0.13,,10291.58345,,0.06,0.17,,155,274.06,,,8.9,10.98,,30,59.52,,1.45,2.84,,15.2,25.99,,4.6,9.67,,1.6,4.28,,1.1,1.95,,540,,28886.72511,,10.2,34.06,,8.6,16.14,,0.5,8.07,< 0.1,11.63,10,3.64,,0.7,1.62,0.02,,26232.24053,,73.3,142.18,,6.9,,0.1,0.53,6031.746032,,585,696.9829409,,0.27,0.05,,10906.08446,1.4,0.48,,65.5,121.9,,15.1,24.39,,654.6914624,,20.2,89.96,31.51,27.34,31.11,,<0.001,,17.6,32.36,,<0.0005,,55.6,162.9,,0.001,,,0.06,0.08,,2.9,17.54,,0.04,,2.6,23.17,,276862.4043,11,21.51,,0.81,1.01,,71.6,277.99,,< 0.05,0.02,,1,1.9,,0.05,,17.3,63.16,,6054.94368,,0.2,0.94,,0.2,0.55,4.3,8.87,,36,67.87,,< 0.1,0.04,,16.4,45.69,,1,3.63,,50.1,83.53,,0.5,392.61,
TS0909_09BC,Batch_2,TS0909_09 ,<2 mm,BOS,Eden Vale,41767,-17.87431,143.23207,,Fiery Creek,0.093,0.00009,,49209.53502,,2.5,2,,0.6,0.008,,7,107,531.77,,0.7,0.86,0.13,0.17,,5217.261056,,0.03,0.16,,109,106.17,,,8.4,9.26,,80,102.06,,1.89,2.45,,16.9,39.37,,3.2,4.8,,1,2.6,,0.7,0.92,,280,,27837.57044,,7.34,16.27,,6,6.79,,0.3,3.24,0.1,3.87,< 10,<DL,,0.5,0.88,< 0.02,,16685.6973,,53.5,53.22,,7.9,,< 0.1,0.33,3980.952381,,330,542.0978429,,1.07,0.05,,5193.373552,0.4,0.27,,44,45.92,,14.5,21.54,,130.9382925,,13,54.76,18.92,17.35,18.49,,<0.001,,12.3,12.06,,<0.0005,,31.4,79.46,,0.004,,,0.17,0.19,,4.1,10.04,,0.03,,2.4,8.7,,366891.7416,7.8,8.42,,0.74,0.49,,13,80.3,,< 0.05,0.12,,0.7,0.87,,< 0.02,,18.5,23.01,,7613.642053,,0.24,0.5,,0.1,0.35,2.8,3.87,,45,39.6,,< 0.1,0.05,,11.3,25.44,,0.7,2.3,,31.6,77.64,,4.2,128.16,
TS0909_09BF,Batch_2,TS0909_09 ,<75 µm,BOS,Eden Vale,41767,-17.87431,143.23207,,Fiery Creek,0.03,0.00012,,73920.12949,,4.5,6.98,,1.3,0.009,,3,109,702.56,,0.9,2.33,0.19,0.3,,9362.482168,,0.05,0.12,,209,367.64,,,11.1,16.33,,31,66.09,,2.35,4.28,,24.8,33.43,,5.8,12.37,,1.9,4.96,,1.3,2.52,,480,,45743.14339,,12.4,37.08,,11.1,21.83,,0.4,10.84,< 0.1,11.81,< 10,4.01,,0.9,2.01,0.02,,19010.07304,,106,193.29,,10.2,,0.1,0.56,6996.825397,,381,774.4254899,,0.27,0.05,,4822.418299,0.4,0.65,,87.8,163.1,,18.6,31.12,,392.8148774,,18.8,86.8,31.6,25.09,30.12,,<0.001,,23.3,43.45,,<0.0005,,38.7,119.16,,0.005,,,0.15,0.28,,5.5,20.73,,0.05,,4,29.13,,313023.643,15,28.8,,0.69,1.7,,17.6,111.37,,< 0.05,0.08,,1.3,2.54,,< 0.02,,37.8,77.8,,10431.28911,,0.3,0.75,,0.2,0.61,5.6,11.42,,61,96.88,,< 0.1,0.08,,20.9,53.49,,1.1,3.9,,45.5,90.47,,3,389.53,
TS0909_09BF_Repeat,Batch_2,TS0909_09 ,<75 µm,BOS,Eden Vale,41767,-17.87431,143.23207,Repeat,Fiery Creek,,0.00013,,76777.45733,,,7.02,,,,,,,705.98,,,2.32,,0.31,,9934.236805,,,0.13,,,388.07,,,,16.63,,,66.82,,,4.25,,,33.61,,,13.42,,,5.45,,,2.62,,,,44274.32686,,,38.71,,,23.48,,,11.43,,12.64,,3.2,,,2.16,,,18595.00595,,,203.9,,,,,0.63,7479.365079,,,774.4254899,,,0.03,,7493.296125,,0.24,,,173.08,,,30.15,,349.1687799,,,86.83,31.83,24.81,30.18,,,,,46,,,,,120.17,,,,,,0.08,,,21.43,,,,,30.32,,307557.4093,,30.93,,,0.81,,,112.33,,,0.04,,,2.76,,,,,83.79,,10731.0388,,,0.76,,,0.69,,12.15,,,86.84,,,0.05,,,58.64,,,4.42,,,88.83,,,425.13,
TS0909_09BF_Repeat,Batch_2,TS0909_09 ,<75 µm,BOS,Eden Vale,41767,-17.87431,143.23207,Repeat,Fiery Creek,,,,77042.02472,,,,,,,,,,,,,,,,,10148.64479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44833.87602,,,,,,,,,,,,,,,,,,,18678.01936,,,,,,,,,7358.730159,,,774.4254899,,,,,7344.914024,,,,,,,,,,349.1687799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306529.5704,,,,,,,,,,,,,,,,,,,,,10970.83855,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS0909_09TC,Batch_2,TS0909_09 ,<2 mm,TOS,Eden Vale,41767,-17.87431,143.23207,Repeat,Fiery Creek,,0.00009,,,,,3.27,,,,,,,553.88,,,1.46,,0.17,,,,,0.09,,,59.55,,,,10.48,,,112.51,,,2.97,,,26.83,,,3.17,,,1.78,,,0.8,,,,,,,14.75,,,4.17,,,1.85,,3.61,,5.54,,,0.61,,,,,,32.09,,,,,0.24,,,,,,,0.2,,,,0.36,,,26.05,,,22.91,,,,,52.65,16.74,17.94,17.97,,,,,6.87,,,,,97.19,,,,,,0.15,,,10.51,,,,,2.31,,,,4.87,,,1.13,,,89.27,,,0.02,,,0.55,,,,,11.91,,,,,0.56,,,0.24,,2.56,,,66.11,,,0.05,,,17.05,,,1.64,,,74.74,,,118.96,
TS0909_09TC,Batch_2,TS0909_09 ,<2 mm,TOS,Eden Vale,41767,-17.87431,143.23207,,Fiery Creek,0.027,0.00009,0.009,50056.15068,17,2.4,3.06,<0.01,< 0.5,0.001,0.0003,5,113,587.24,2.59,0.7,1.51,0.12,0.17,<0.001,7003.994294,495,0.04,0.06,0.013,54.2,59.72,0.419,,8.8,10.4,0.405,83,113.62,0.018,2,3.01,<0.0005,17.2,25.19,1.21,1.8,3.18,0.046,0.7,1.81,0.0232,0.5,0.8,0.0164,360,,25739.26111,29,5.81,14.89,0.004,3.2,4.11,0.067,0.2,2.01,< 0.1,3.66,< 10,0.57,<0.001,0.3,0.59,< 0.02,,16353.64362,29.7,26.4,29.78,0.156,8.9,0.008,< 0.1,0.24,5549.206349,161,304,387.212745,10.4,1.03,0.3,0.007,6009.47511,1.2,0.88,<0.0005,21.7,26.36,0.295,16.4,22.61,0.679,130.9382925,0.9,11,55.32,18.62,18.19,18.51,0.04,0.001,<0.001,5.9,6.8,0.061,<0.0005,<0.001,38.7,95.21,0.115,< 0.001,,,0.12,0.22,<0.001,3.8,10.73,0.019,0.03,,1.3,4.88,0.006,358669.031,3.8,4.88,0.067,0.64,1.09,<0.001,17.9,97.56,2.47,< 0.05,0.12,<0.001,0.4,0.55,0.009,< 0.02,<0.01,7.9,12.14,0.0567,3956.69587,0.005,0.25,0.6,<0.0005,< 0.1,0.24,1.5,2.53,0.134,43,64.85,0.009,< 0.1,0.13,<0.001,7.13,17.25,0.232,0.5,1.62,0.018,41.1,69.39,0.36,2.9,121.47,0.026
TS0909_09TF,Batch_2,TS0909_09 ,<75 µm,TOS,Eden Vale,41767,-17.87431,143.23207,,Fiery Creek,0.134,0.0001,,74555.09123,,4.4,5.36,,1.7,<0.001,,3,135,707.33,,1,2.52,0.19,0.28,,10720.39943,,0.04,0.12,,114,177.62,,,12.2,15.87,,34,66.96,,2.64,4.31,,28.5,35.24,,3.8,6.95,,1.4,3.13,,1,1.64,,500,,40847.08829,,9.8,27.24,,6.5,11.23,,0.3,5.62,< 0.1,7.7,10,2.31,,0.6,1.2,0.03,,19674.1804,,55.8,92.64,,11.1,,0.1,0.38,8384.126984,,437,696.9829409,,0.52,0.11,,6157.857212,1.1,1.08,,48.6,79.69,,21.6,34.25,,436.4609749,,19.1,75.27,26.21,23.59,25.47,,<0.001,,12.9,20.98,,<0.0005,,45.2,122.13,,0.001,,,0.15,0.23,,5.6,19.3,,0.06,,1.7,15,,307370.5295,8.5,14.34,,0.76,1.57,,23.5,115.45,,< 0.05,0.15,,0.8,1.37,,0.04,,18.3,36.73,,6834.292866,,0.32,0.76,,0.2,0.41,3.3,6.35,,59,102.01,,< 0.1,0.14,,13.7,33.05,,1,2.7,,59.7,93.25,,3.5,259.8,
TS0909_10BC,Batch_2,TS0909_10 ,<2 mm,BOS,Eden Vale,41767,-17.89479,143.22566,,Kangaroo Creek,0.045,0.00008,,20953.73749,,1,2.37,,< 0.5,<0.001,,5,78.9,215.62,,0.5,0.64,0.07,0.14,,643.2239658,,0.02,0.03,,28.9,29.93,,,4.6,4.58,,71,95.68,,0.67,1.14,,6.7,15.06,,1.2,2.29,,0.5,1.49,,0.3,0.46,,80,,13359.23607,,3.96,6.85,,1.9,2.52,,0.1,1.02,< 0.1,2.8,< 10,<DL,,0.2,0.47,< 0.02,,4731.764906,,13.9,15.69,,3.5,,< 0.1,0.2,542.8571429,,169,154.885098,,0.98,0.55,,741.9105075,0.3,0.36,,12.8,14.29,,6.2,11.12,,43.64609749,,8.62,37.1,12.43,12.3,12.38,,<0.001,,3.4,3.71,,<0.0005,,8.9,27.96,,0.001,,,0.06,0.31,,2.2,4.99,,0.04,,0.3,2.73,,417022.2444,2.5,2.79,,0.59,1.07,,10.1,25.14,,< 0.05,0.06,,0.2,0.37,,< 0.02,,3.4,5.83,,2397.997497,,0.06,0.21,,< 0.1,0.21,0.7,1.44,,30,37.42,,< 0.1,0.07,,5.19,13.52,,0.4,1.38,,7.6,71.87,,2.7,89.74,
TS0909_10BF,Batch_2,TS0909_10 ,<75 µm,BOS,Eden Vale,41767,-17.89479,143.22566,,Kangaroo Creek,0.019,0.00014,,52543.08417,,2,3.18,,1.8,<0.001,,3,146,417.68,,1.1,2.08,0.15,0.28,,2715.834522,,0.05,0.12,,82.8,112.7,,,12,12.16,,28,47.77,,0.99,2.71,,16,27.83,,3.3,6.58,,1.4,3.69,,1,1.39,,220,,31334.75266,,7.25,17.93,,5.3,8.37,,0.4,3.54,< 0.1,8.22,10,<DL,,0.6,1.25,0.03,,8135.315101,,38.9,57.43,,6.3,,0.1,0.51,1990.47619,,456,542.0978429,,0.39,0.04,,#VALUE!,0.4,0.33,,36.2,51.39,,11.2,19.27,,218.2304875,,17.7,77.28,26.2,25.11,25.97,,<0.001,,9.3,13.28,,<0.0005,,14.7,59.59,,0.001,,,0.07,0.08,,4.8,14.5,,0.08,,2.4,9.47,,341756.4103,6.8,9.9,,0.98,1.17,,24.5,57.37,,< 0.05,0.04,,0.7,1.13,,< 0.02,,7.7,20.67,,6594.493116,,0.08,0.44,,0.2,0.52,1.8,4.5,,57,60.18,,< 0.1,0.06,,14,36.37,,1,3.54,,31,64.89,,2.2,294.14,
